urlDetail,houseType,housePic,agentPic,agentPeople,agentCompany,price,location,bed,bathroom
https://www.domain.com.au/35-armstrong-street-middle-park-vic-3206-12180236,House,https://rimh2.domainstatic.com.au/WWK7bzLs0RWBMFOedFRDaey1XOU=/660x440/filters:format(jpeg):quality(80)/12180236_1_1_180512_025339-w2000-h1335,https://rimh2.domainstatic.com.au/E5Pto45QrFEPUApfCe0pmUOQ71c=/55x55/filters:format(jpeg):quality(80)/https://images.domain.com.au/img/17566/contact_1387470.jpeg?mod=171124-132035,Carlo Russo,Greg Hocking Holdsworth,1200,"35 Armstrong Street,MIDDLE PARK,VIC,3206",3,1
https://www.domain.com.au/25-molesworth-street-prahran-vic-3181-12180601,House,https://rimh2.domainstatic.com.au/-ZhuzlnEi0MkF8p_9r1saV3tyzc=/660x440/filters:format(jpeg):quality(80)/12180601_2_1_180513_113209-w1799-h1200,https://rimh2.domainstatic.com.au/cDqfFOcxrx-JpihkxwoLSBXzRGo=/55x55/filters:format(jpeg):quality(80)/https://images.domain.com.au/img/88/contact_1497333.jpeg?mod=180517-162306,Paul Tunney,Kay \u0026 Burton South Yarra,925,"25 Molesworth Street,PRAHRAN,VIC,3181",3,2
https://www.domain.com.au/65-botherambo-street-richmond-vic-3121-12181552,House,https://rimh2.domainstatic.com.au/qTYr-PF8r5Jyegk7zZ74hHiBmOc=/660x440/filters:format(jpeg):quality(80)/12181552_1_1_180514_024737-w2000-h1333,https://rimh2.domainstatic.com.au/-DvPAn8NAK3QglKf1vxUAGbnjv8=/55x55/filters:format(jpeg):quality(80)/https://images.domain.com.au/img/3355/contact_1326604.JPG?mod=180517-113439,Jenn Durling,Biggin \u0026 Scott Richmond,1150,"65 Botherambo Street,RICHMOND,VIC,3121",3,2
https://www.domain.com.au/27-charlotte-street-richmond-vic-3121-12181593,House,https://rimh2.domainstatic.com.au/6aLgEv0vodrUfQrR47KTWp2fYwM=/660x440/filters:format(jpeg):quality(80)/12181593_1_1_180514_025526-w2000-h1333,https://rimh2.domainstatic.com.au/-DvPAn8NAK3QglKf1vxUAGbnjv8=/55x55/filters:format(jpeg):quality(80)/https://images.domain.com.au/img/3355/contact_1326604.JPG?mod=180517-113439,Jenn Durling,Biggin \u0026 Scott Richmond,1000,"27 Charlotte Street,RICHMOND,VIC,3121",4,2
https://www.domain.com.au/2003-45-haig-street-southbank-vic-3006-12182313,Apartment,https://rimh2.domainstatic.com.au/NbgyzYLGoTVmTXqhh6Lt5Lo5fYo=/660x440/filters:format(jpeg):quality(80)/12182313_2_1_180514_051231-w1500-h1001,https://rimh2.domainstatic.com.au/ZHq6-UqoURGlpFtsp9xd82rp8Os=/55x55/filters:format(jpeg):quality(80)/https://images.domain.com.au/img/3702/contact_1460567.jpeg?mod=180517-123911,Stefan Joannides,hockingstuart Albert Park ,730,"2003/45 Haig Street,SOUTHBANK,VIC,3006",2,2
https://www.domain.com.au/12-lynott-street-st-kilda-vic-3182-12184156,Townhouse,https://rimh2.domainstatic.com.au/ap3UkSyP4WlGq1qsFx6O67QSn-k=/660x440/filters:format(jpeg):quality(80)/11417375_1_0_170531_072242-w800-h532,https://rimh2.domainstatic.com.au/E5Pto45QrFEPUApfCe0pmUOQ71c=/55x55/filters:format(jpeg):quality(80)/https://images.domain.com.au/img/17566/contact_1387470.jpeg?mod=171124-132035,Carlo Russo,Greg Hocking Holdsworth,750,"12 Lynott Street,ST KILDA,VIC,3182",2,2
https://www.domain.com.au/1-247-williams-road-south-yarra-vic-3141-12185193,Apartment,https://rimh2.domainstatic.com.au/4f313hzM3LNOw3UIIkdAAiueFMY=/660x440/filters:format(jpeg):quality(80)/12185193_1_1_180515_040907-w800-h600,null,McInnes Property Management,McInnes Property Management,760,"1/247 Williams Road,SOUTH YARRA,VIC,3141",2,2
https://www.domain.com.au/10a-west-beach-road-st-kilda-west-vic-3182-12185947,Townhouse,https://rimh2.domainstatic.com.au/9Bbv1tzFzZNd96RvO455AEKZldM=/660x440/filters:format(jpeg):quality(80)/12185947_1_1_180515_055410-w3780-h2524,https://rimh2.domainstatic.com.au/KyhSmlueX5gCnh1MZC_WI_V1Fqw=/55x55/filters:format(jpeg):quality(80)/https://images.domain.com.au/img/4450/contact_1295086.JPG?mod=180517-095124,Neil Harris,Marshall White Stonnington,7950,"10A West Beach Road,ST KILDA WEST,VIC,3182",2,1
https://www.domain.com.au/4a-canberra-road-toorak-vic-3142-12187140,Townhouse,https://rimh2.domainstatic.com.au/qk_NIUnJcr0195xeEQ_p2iu0pe4=/660x440/filters:format(jpeg):quality(80)/12187140_1_1_180515_113242-w5847-h3898,https://rimh2.domainstatic.com.au/1cWoil-5amaQkpV0qlQxl195pV8=/55x55/filters:format(jpeg):quality(80)/https://images.domain.com.au/img/175/contact_1179483.JPG?mod=180517-154205,Jonathan Boon,RT Edgar Toorak,1400,"4A Canberra Road,TOORAK,VIC,3142",3,2
https://www.domain.com.au/33-nimmo-street-middle-park-vic-3206-12187683,House,https://rimh2.domainstatic.com.au/ZJNuR2G8279xh94UWWW8NmBSTOg=/660x440/filters:format(jpeg):quality(80)/12187683_1_1_180516_014128-w1000-h667,https://rimh2.domainstatic.com.au/ZIuYJbQQp5uzMyonxqf8Zmy2EWM=/55x55/filters:format(jpeg):quality(80)/https://images.domain.com.au/img/4450/contact_1485457.jpeg?mod=180517-095110,Max Matlock,Marshall White Stonnington,8800,"33 Nimmo Street,MIDDLE PARK,VIC,3206",2,1
